feature_name,coefficient,odds_ratio,direction
blaTEM-1,2.8064505538091495,16.551066714745158,resistant
blaCTX-M-15,1.2990812175371644,3.6659269304548503,resistant
estX-3,-0.8351855666430053,0.43379397627175303,susceptible
sul2,0.8329428246412611,2.3000775152303516,resistant
sul1,0.7851376616512705,2.1927087718677436,resistant
aadA1,0.7604015842872578,2.1391350910717084,resistant
lnu(F),-0.7039523910943747,0.49462647803181614,susceptible
ampC_C-42T,0.6820703654261786,1.9779686137913672,resistant
blaTEMp_C32T,0.6803218508221416,1.9745131286473177,resistant
dfrA1,0.6572973190969038,1.9295702680765605,resistant
aac(6')-Ib-cr5,0.6159045572312464,1.8513304767555079,resistant
erm(B),0.546271512675877,1.7268026385121669,resistant
aph(3')-Ia,0.5429000280872639,1.720990553212307,resistant
blaCTX-M-14,0.5172265149793909,1.6773690344941967,resistant
marR_S3N,-0.49458390149808834,0.6098246016148968,susceptible
blaSHV-1,0.4945613157234612,1.6397787361027352,resistant
sat2,0.43336439113775704,1.5424381691092661,resistant
blaTEM-40,0.43249921513914685,1.5411042657398077,resistant
nfsA_Q67Ter,0.43249921513914685,1.5411042657398077,resistant
blaOXA-1,0.40867923400779427,1.5048289451110597,resistant
catB3,0.40867923400779427,1.5048289451110597,resistant
sul3,-0.40017556776791896,0.6702023697717473,susceptible
qnrS1,0.39468808550458767,1.483921262175851,resistant
parC_E84V,-0.38415631611778783,0.6810249636803444,susceptible
tet(B),0.3808560971531692,1.4635369831172056,resistant
parC_A56T,0.36849787468739664,1.4455615683552405,resistant
parE_L416F,0.3487399248298656,1.4172805429277144,resistant
aac(6')-Ib3,0.348095877614024,1.41636804121861,resistant
blaVEB-5,0.348095877614024,1.41636804121861,resistant
dfrA4,0.348095877614024,1.41636804121861,resistant
parE_I529L,-0.3382770376876889,0.7129977332911516,susceptible
blaCTX-M-55,-0.33382776074135206,0.7161771254217766,susceptible
cyaA_S352T,-0.327873874898864,0.7204538812938593,susceptible
floR,-0.3141399757588404,0.7304167803603845,susceptible
parC_S80I,-0.29119406253256863,0.7473706273073895,susceptible
cmlA1,-0.27835000874772126,0.7570318073835215,susceptible
estX,0.26999789891591114,1.3099616983906743,resistant
nfsA_R15C,0.26999789891591114,1.3099616983906743,resistant
nfsA_Q195Ter,-0.26998918066862215,0.7633877536372494,susceptible
catA2,0.2557098198767193,1.291377941354301,resistant
mef(B),0.2557098198767193,1.291377941354301,resistant
aadA2,-0.2553483776237784,0.7746465814120674,susceptible
tet(M),0.2547542662453764,1.2901445498527169,resistant
aph(6)-Id,0.2506529125935521,1.2848640467990264,resistant
parE_L445H,0.2472286160634797,1.2804718157446073,resistant
blaCTX-M-1,0.22313835156572429,1.2499935003312914,resistant
aac(3)-IId,0.20643539317005108,1.2292883112305744,resistant
aac(3)-VIa,-0.19780478627944453,0.8205300162216007,susceptible
blaTEM-30,0.17935586130099931,1.1964464374053077,resistant
ompF_N274TfsTer7,0.17935586130099931,1.1964464374053077,resistant
