feature_name,coefficient,odds_ratio,direction
gyrA_S83L,1.83547048666054,6.268082501004232,resistant
parC_S80I,1.5440737648530063,4.683631473244731,resistant
gyrA_D87N,1.4593798245124328,4.303289905698098,resistant
blaTEM-1,-0.9815781223125312,0.37471927913693553,susceptible
marR_S3N,-0.6439012824477909,0.5252393148477368,susceptible
sul2,-0.46554848630220813,0.627790676154447,susceptible
tet(B),0.39501005154546465,1.4843991113510826,resistant
parE_S458A,0.38344470876698045,1.4673304196976495,resistant
tet(A),0.3551020084685881,1.4263261442064294,resistant
parC_E84V,0.3498299976985399,1.4188263243489883,resistant
cirA_E450AfsTer30,0.32091965092007047,1.3783948236883308,resistant
sul1,-0.30969958601459735,0.7336673270470713,susceptible
blaTEM-40,0.2371453558988932,1.2676253612083626,resistant
nfsA_Q67Ter,0.2371453558988932,1.2676253612083626,resistant
uhpT_E350Q,-0.23595101241921076,0.7898193643250394,susceptible
dfrA1,-0.23419152880943556,0.7912102618231014,susceptible
blaTEMp_C32T,0.22711259081213275,1.254971158208043,resistant
cyaA_S352T,-0.2048952640077105,0.8147326437748099,susceptible
aadA2,0.19958051962650072,1.2208905111212847,resistant
nfsA_Q195Ter,-0.19934282863944341,0.8192689763139894,susceptible
mph(A),0.19739746263749172,1.2182281446643621,resistant
mrx(A),0.19739746263749172,1.2182281446643621,resistant
dfrA12,0.1808051783306607,1.1981817247891446,resistant
aadA1,-0.17387342732189304,0.8404032630185053,susceptible
sul3,0.17125232043835933,1.1867901626601158,resistant
blaSHV-1,-0.17025508387985097,0.8434496387470396,susceptible
floR,0.16453724019365054,1.1788474692422246,resistant
aac(3)-IId,-0.15997488060071857,0.8521651945751385,susceptible
ampC_C-42T,-0.152852716585274,0.8582561193950055,susceptible
ompC_D33AfsTer3,-0.152852716585274,0.8582561193950055,susceptible
parC_S57T,-0.152852716585274,0.8582561193950055,susceptible
aph(3')-Ia,0.15142184142755039,1.1634873617445918,resistant
parC_A56T,0.14678349792271586,1.1581032041365191,resistant
catA1,0.14462803539557603,1.1556096444301225,resistant
aac(3)-IIe,0.14313163625950648,1.1538816843379969,resistant
blaCTX-M-15,0.14009178342553855,1.1503793797720085,resistant
blaCTX-M-55,0.12917864108580432,1.1378933805192486,resistant
cmlA1,0.12866210255389332,1.1373057665187059,resistant
dfrA14,0.12556696690694932,1.1337910929009207,resistant
aac(6')-Ib-cr5,0.11011445168834011,1.11640583768014,resistant
mcr-1.1,0.10048092945073236,1.1057025551479587,resistant
ompC_Q82Ter,-0.09144320313965314,0.9126131482415787,susceptible
dfrA7,-0.08608752248887949,0.9175139246036219,susceptible
gyrA_D87G,0.08469394034057372,1.0883839053099846,resistant
estX-3,0.08458244022987225,1.0882625571493492,resistant
nfsB_Q26Ter,0.08419791361534856,1.0878441716778655,resistant
ompF_Y253EfsTer3,0.08087255467691047,1.0842327073734688,resistant
blaOXA-1,0.08025317131781927,1.0835613596094187,resistant
catB3,0.08025317131781927,1.0835613596094187,resistant
dfrA17,0.07354471664887427,1.0763166648701985,resistant
erm(B),0.07328645754694277,1.0760387321858027,resistant
ptsI_V25I,0.0725357205209477,1.075231213223265,resistant
tet(D),-0.07178295412262722,0.9307328856256448,susceptible
parE_L416F,0.06995393719646747,1.072458779658373,resistant
mph(B),-0.0639626673946866,0.9380400183548269,susceptible
ftsI_N337NYRIN,0.05855680044753271,1.0603052097946408,resistant
